frame_id,action
0,Dexterous Hand movements
1,Dexterous Hand movements
2,Dexterous Hand movements
3,Dexterous Hand movements
4,Dexterous Hand movements
5,Dexterous Hand movements
6,Dexterous Hand movements
7,Dexterous Hand movements
8,Dexterous Hand movements
9,Dexterous Hand movements
10,Dexterous Hand movements
11,Dexterous Hand movements
12,Dexterous Hand movements
13,Dexterous Hand movements
14,Dexterous Hand movements
15,Dexterous Hand movements
16,Dexterous Hand movements
17,Dexterous Hand movements
18,Dexterous Hand movements
19,Dexterous Hand movements
20,Dexterous Hand movements
21,Dexterous Hand movements
22,Dexterous Hand movements
23,Dexterous Hand movements
24,Dexterous Hand movements
25,Dexterous Hand movements
26,Dexterous Hand movements
27,Dexterous Hand movements
28,Dexterous Hand movements
29,Dexterous Hand movements
30,Dexterous Hand movements
31,Dexterous Hand movements
32,Dexterous Hand movements
33,Dexterous Hand movements
34,Dexterous Hand movements
35,Dexterous Hand movements
36,Dexterous Hand movements
37,Dexterous Hand movements
38,Dexterous Hand movements
39,Dexterous Hand movements
40,Dexterous Hand movements
41,Dexterous Hand movements
42,Dexterous Hand movements
43,Dexterous Hand movements
44,Dexterous Hand movements
45,Dexterous Hand movements
46,Dexterous Hand movements
47,Dexterous Hand movements
48,Dexterous Hand movements
49,Dexterous Hand movements
50,Dexterous Hand movements
51,Dexterous Hand movements
52,Dexterous Hand movements
53,Dexterous Hand movements
54,Dexterous Hand movements
55,Dexterous Hand movements
56,Dexterous Hand movements
57,Dexterous Hand movements
58,Dexterous Hand movements
59,Dexterous Hand movements
60,Dexterous Hand movements
61,Dexterous Hand movements
62,Dexterous Hand movements
63,Dexterous Hand movements
64,Dexterous Hand movements
65,Dexterous Hand movements
66,Dexterous Hand movements
67,Dexterous Hand movements
68,Dexterous Hand movements
69,Dexterous Hand movements
70,Dexterous Hand movements
71,Dexterous Hand movements
72,Dexterous Hand movements
73,Dexterous Hand movements
74,Dexterous Hand movements
75,Dexterous Hand movements
76,Dexterous Hand movements
77,Dexterous Hand movements
78,Dexterous Hand movements
79,Dexterous Hand movements
80,Dexterous Hand movements
81,Dexterous Hand movements
82,Dexterous Hand movements
83,Dexterous Hand movements
84,Dexterous Hand movements
85,Dexterous Hand movements
86,Dexterous Hand movements
87,Dexterous Hand movements
88,Dexterous Hand movements
89,Dexterous Hand movements
90,Dexterous Hand movements
91,Dexterous Hand movements
92,Dexterous Hand movements
93,Dexterous Hand movements
94,Dexterous Hand movements
95,Dexterous Hand movements
96,Dexterous Hand movements
97,Dexterous Hand movements
98,Dexterous Hand movements
99,Dexterous Hand movements
100,Dexterous Hand movements
101,Dexterous Hand movements
102,Dexterous Hand movements
103,Dexterous Hand movements
104,Dexterous Hand movements
105,Dexterous Hand movements
106,Dexterous Hand movements
107,Dexterous Hand movements
108,Dexterous Hand movements
109,Dexterous Hand movements
110,Dexterous Hand movements
111,Dexterous Hand movements
112,Dexterous Hand movements
113,Dexterous Hand movements
114,Dexterous Hand movements
115,Dexterous Hand movements
116,Dexterous Hand movements
117,Dexterous Hand movements
118,Dexterous Hand movements
119,Dexterous Hand movements
120,Dexterous Hand movements
121,Dexterous Hand movements
122,Dexterous Hand movements
123,Dexterous Hand movements
124,Dexterous Hand movements
125,Dexterous Hand movements
126,Dexterous Hand movements
127,Dexterous Hand movements
128,Dexterous Hand movements
129,Dexterous Hand movements
130,Dexterous Hand movements
131,Dexterous Hand movements
132,Dexterous Hand movements
133,Dexterous Hand movements
134,Dexterous Hand movements
135,Dexterous Hand movements
136,Dexterous Hand movements
137,Dexterous Hand movements
138,Dexterous Hand movements
139,Dexterous Hand movements
140,Dexterous Hand movements
141,Dexterous Hand movements
142,Dexterous Hand movements
143,Dexterous Hand movements
144,Dexterous Hand movements
145,Dexterous Hand movements
146,Dexterous Hand movements
147,Dexterous Hand movements
148,Dexterous Hand movements
149,Dexterous Hand movements
150,Dexterous Hand movements
151,Dexterous Hand movements
152,Dexterous Hand movements
153,Dexterous Hand movements
154,Dexterous Hand movements
155,Dexterous Hand movements
156,Dexterous Hand movements
157,Dexterous Hand movements
158,Dexterous Hand movements
159,Dexterous Hand movements
160,Dexterous Hand movements
161,Dexterous Hand movements
162,Dexterous Hand movements
163,Dexterous Hand movements
164,Dexterous Hand movements
165,Dexterous Hand movements
166,Dexterous Hand movements
167,Dexterous Hand movements
168,Dexterous Hand movements
169,Dexterous Hand movements
170,Dexterous Hand movements
171,Dexterous Hand movements
172,Dexterous Hand movements
173,Dexterous Hand movements
174,Dexterous Hand movements
175,Dexterous Hand movements
176,Dexterous Hand movements
177,Dexterous Hand movements
178,Dexterous Hand movements
179,Dexterous Hand movements
180,Dexterous Hand movements
181,Dexterous Hand movements
182,Dexterous Hand movements
183,Dexterous Hand movements
184,Dexterous Hand movements
185,Dexterous Hand movements
186,Dexterous Hand movements
187,Dexterous Hand movements
188,Dexterous Hand movements
189,Dexterous Hand movements
190,Dexterous Hand movements
191,Dexterous Hand movements
192,Dexterous Hand movements
193,Dexterous Hand movements
194,Dexterous Hand movements
195,Dexterous Hand movements
196,Dexterous Hand movements
197,Dexterous Hand movements
198,Dexterous Hand movements
199,Dexterous Hand movements
200,Dexterous Hand movements
201,Dexterous Hand movements
202,Dexterous Hand movements
203,Dexterous Hand movements
204,Dexterous Hand movements
205,Dexterous Hand movements
206,Dexterous Hand movements
207,Dexterous Hand movements
208,Dexterous Hand movements
209,Dexterous Hand movements
210,Dexterous Hand movements
211,Dexterous Hand movements
212,Dexterous Hand movements
213,Dexterous Hand movements
214,Dexterous Hand movements
215,Dexterous Hand movements
216,Dexterous Hand movements
217,Dexterous Hand movements
218,Dexterous Hand movements
219,Dexterous Hand movements
220,Dexterous Hand movements
221,Dexterous Hand movements
222,Dexterous Hand movements
223,Dexterous Hand movements
224,Dexterous Hand movements
225,Dexterous Hand movements
226,Dexterous Hand movements
227,Dexterous Hand movements
228,Dexterous Hand movements
229,Dexterous Hand movements
230,Dexterous Hand movements
231,Dexterous Hand movements
232,Dexterous Hand movements
233,Dexterous Hand movements
234,Dexterous Hand movements
235,Dexterous Hand movements
236,Dexterous Hand movements
237,Dexterous Hand movements
238,Dexterous Hand movements
239,Dexterous Hand movements
240,Dexterous Hand movements
241,Dexterous Hand movements
242,Dexterous Hand movements
243,Dexterous Hand movements
244,Dexterous Hand movements
245,Dexterous Hand movements
246,Dexterous Hand movements
247,Dexterous Hand movements
248,Dexterous Hand movements
249,Dexterous Hand movements
250,Dexterous Hand movements
251,Dexterous Hand movements
252,Dexterous Hand movements
253,Dexterous Hand movements
254,Dexterous Hand movements
255,Dexterous Hand movements
256,Dexterous Hand movements
257,Dexterous Hand movements
258,Dexterous Hand movements
259,Dexterous Hand movements
260,Dexterous Hand movements
261,Dexterous Hand movements
262,Dexterous Hand movements
263,Dexterous Hand movements
264,Dexterous Hand movements
265,Dexterous Hand movements
266,Dexterous Hand movements
267,Dexterous Hand movements
268,Dexterous Hand movements
269,Dexterous Hand movements
270,Dexterous Hand movements
271,Dexterous Hand movements
272,Dexterous Hand movements
273,Dexterous Hand movements
274,Dexterous Hand movements
275,Dexterous Hand movements
276,Dexterous Hand movements
277,Dexterous Hand movements
278,Dexterous Hand movements
279,Dexterous Hand movements
280,Dexterous Hand movements
281,Dexterous Hand movements
282,Dexterous Hand movements
283,Dexterous Hand movements
284,Dexterous Hand movements
285,Dexterous Hand movements
286,Dexterous Hand movements
287,Dexterous Hand movements
288,Dexterous Hand movements
289,Dexterous Hand movements
290,Dexterous Hand movements
291,Dexterous Hand movements
292,Dexterous Hand movements
293,Dexterous Hand movements
294,Dexterous Hand movements
295,Dexterous Hand movements
296,Dexterous Hand movements
297,Dexterous Hand movements
298,Dexterous Hand movements
299,Dexterous Hand movements
300,Dexterous Hand movements
301,Dexterous Hand movements
302,Dexterous Hand movements
303,Dexterous Hand movements
304,Dexterous Hand movements
305,Dexterous Hand movements
306,Dexterous Hand movements
307,Dexterous Hand movements
308,Dexterous Hand movements
309,Dexterous Hand movements
310,Dexterous Hand movements
311,Dexterous Hand movements
312,Dexterous Hand movements
313,Dexterous Hand movements
314,Dexterous Hand movements
315,Dexterous Hand movements
316,Dexterous Hand movements
317,Dexterous Hand movements
318,Dexterous Hand movements
319,Dexterous Hand movements
320,Dexterous Hand movements
321,Dexterous Hand movements
322,Dexterous Hand movements
323,Dexterous Hand movements
324,Dexterous Hand movements
325,Dexterous Hand movements
326,Dexterous Hand movements
327,Dexterous Hand movements
328,Dexterous Hand movements
329,Dexterous Hand movements
330,Dexterous Hand movements
331,Dexterous Hand movements
332,Dexterous Hand movements
333,Dexterous Hand movements
334,Dexterous Hand movements
335,Dexterous Hand movements
336,Dexterous Hand movements
337,Dexterous Hand movements
338,Dexterous Hand movements
339,Dexterous Hand movements
340,Dexterous Hand movements
341,Dexterous Hand movements
342,Dexterous Hand movements
343,Dexterous Hand movements
344,Dexterous Hand movements
345,Dexterous Hand movements
346,Dexterous Hand movements
347,Dexterous Hand movements
348,Dexterous Hand movements
349,Dexterous Hand movements
350,Dexterous Hand movements
351,Dexterous Hand movements
352,Dexterous Hand movements
353,Dexterous Hand movements
354,Dexterous Hand movements
355,Dexterous Hand movements
356,Dexterous Hand movements
357,Dexterous Hand movements
358,Dexterous Hand movements
359,Dexterous Hand movements
360,Dexterous Hand movements
361,Dexterous Hand movements
362,Dexterous Hand movements
363,Dexterous Hand movements
364,Dexterous Hand movements
365,Dexterous Hand movements
366,Dexterous Hand movements
367,Dexterous Hand movements
