frame_id,job_action,hand_activity_class,grip_type_proxy,motion_class_rule
0,Dexterous Hand movements,static,open,static
1,Dexterous Hand movements,finger_active,open,finger_active
2,Dexterous Hand movements,finger_active,precision,finger_active
3,Dexterous Hand movements,finger_active,precision,finger_active
4,Dexterous Hand movements,finger_active,precision,finger_active
5,Dexterous Hand movements,finger_active,precision,finger_active
6,Dexterous Hand movements,finger_active,precision,finger_active
7,Dexterous Hand movements,finger_active,open,finger_active
8,Dexterous Hand movements,finger_active,open,finger_active
9,Dexterous Hand movements,finger_active,open,finger_active
10,Dexterous Hand movements,finger_active,open,finger_active
11,Dexterous Hand movements,finger_active,precision,finger_active
12,Dexterous Hand movements,finger_active,precision,finger_active
13,Dexterous Hand movements,finger_active,open,finger_active
14,Dexterous Hand movements,finger_active,open,finger_active
15,Dexterous Hand movements,finger_active,open,finger_active
16,Dexterous Hand movements,finger_active,open,finger_active
17,Dexterous Hand movements,finger_active,open,finger_active
18,Dexterous Hand movements,finger_active,open,finger_active
19,Dexterous Hand movements,finger_active,open,finger_active
20,Dexterous Hand movements,finger_active,open,finger_active
21,Dexterous Hand movements,finger_active,open,finger_active
22,Dexterous Hand movements,finger_active,open,finger_active
23,Dexterous Hand movements,finger_active,open,finger_active
24,Dexterous Hand movements,finger_active,open,finger_active
25,Dexterous Hand movements,finger_active,open,finger_active
26,Dexterous Hand movements,finger_active,precision,finger_active
27,Dexterous Hand movements,finger_active,open,finger_active
28,Dexterous Hand movements,finger_active,open,finger_active
29,Dexterous Hand movements,finger_active,precision,finger_active
30,Dexterous Hand movements,finger_active,precision,finger_active
31,Dexterous Hand movements,finger_active,precision,finger_active
32,Dexterous Hand movements,finger_active,precision,finger_active
33,Dexterous Hand movements,finger_active,precision,finger_active
34,Dexterous Hand movements,finger_active,precision,finger_active
35,Dexterous Hand movements,finger_active,precision,finger_active
36,Dexterous Hand movements,finger_active,precision,finger_active
37,Dexterous Hand movements,finger_active,precision,finger_active
38,Dexterous Hand movements,finger_active,precision,finger_active
39,Dexterous Hand movements,finger_active,open,finger_active
40,Dexterous Hand movements,finger_active,precision,finger_active
41,Dexterous Hand movements,finger_active,precision,finger_active
42,Dexterous Hand movements,finger_active,open,finger_active
43,Dexterous Hand movements,finger_active,open,finger_active
44,Dexterous Hand movements,finger_active,open,finger_active
45,Dexterous Hand movements,finger_active,open,finger_active
46,Dexterous Hand movements,finger_active,open,finger_active
47,Dexterous Hand movements,finger_active,open,finger_active
48,Dexterous Hand movements,finger_active,open,finger_active
49,Dexterous Hand movements,finger_active,open,finger_active
50,Dexterous Hand movements,finger_active,open,finger_active
51,Dexterous Hand movements,finger_active,open,finger_active
52,Dexterous Hand movements,finger_active,open,finger_active
53,Dexterous Hand movements,finger_active,open,finger_active
54,Dexterous Hand movements,finger_active,precision,finger_active
55,Dexterous Hand movements,finger_active,precision,finger_active
56,Dexterous Hand movements,finger_active,open,finger_active
57,Dexterous Hand movements,finger_active,open,finger_active
58,Dexterous Hand movements,finger_active,open,finger_active
59,Dexterous Hand movements,finger_active,open,finger_active
60,Dexterous Hand movements,finger_active,open,finger_active
61,Dexterous Hand movements,finger_active,precision,finger_active
62,Dexterous Hand movements,finger_active,precision,finger_active
63,Dexterous Hand movements,finger_active,precision,finger_active
64,Dexterous Hand movements,finger_active,precision,finger_active
65,Dexterous Hand movements,finger_active,precision,finger_active
66,Dexterous Hand movements,finger_active,precision,finger_active
67,Dexterous Hand movements,finger_active,precision,finger_active
68,Dexterous Hand movements,finger_active,precision,finger_active
69,Dexterous Hand movements,finger_active,open,finger_active
70,Dexterous Hand movements,finger_active,open,finger_active
71,Dexterous Hand movements,finger_active,open,finger_active
72,Dexterous Hand movements,finger_active,open,finger_active
73,Dexterous Hand movements,finger_active,precision,finger_active
74,Dexterous Hand movements,finger_active,precision,finger_active
75,Dexterous Hand movements,finger_active,precision,finger_active
76,Dexterous Hand movements,finger_active,precision,finger_active
77,Dexterous Hand movements,finger_active,precision,finger_active
78,Dexterous Hand movements,finger_active,precision,finger_active
79,Dexterous Hand movements,finger_active,precision,finger_active
80,Dexterous Hand movements,finger_active,precision,finger_active
81,Dexterous Hand movements,finger_active,precision,finger_active
82,Dexterous Hand movements,finger_active,precision,finger_active
83,Dexterous Hand movements,finger_active,precision,finger_active
84,Dexterous Hand movements,finger_active,precision,finger_active
85,Dexterous Hand movements,finger_active,precision,finger_active
86,Dexterous Hand movements,finger_active,open,finger_active
87,Dexterous Hand movements,finger_active,open,finger_active
88,Dexterous Hand movements,finger_active,open,finger_active
89,Dexterous Hand movements,finger_active,precision,finger_active
90,Dexterous Hand movements,finger_active,precision,finger_active
91,Dexterous Hand movements,finger_active,precision,finger_active
92,Dexterous Hand movements,finger_active,precision,finger_active
93,Dexterous Hand movements,finger_active,open,finger_active
94,Dexterous Hand movements,finger_active,open,finger_active
95,Dexterous Hand movements,finger_active,open,finger_active
96,Dexterous Hand movements,finger_active,open,finger_active
97,Dexterous Hand movements,finger_active,open,finger_active
98,Dexterous Hand movements,finger_active,open,finger_active
99,Dexterous Hand movements,finger_active,precision,finger_active
100,Dexterous Hand movements,finger_active,precision,finger_active
101,Dexterous Hand movements,finger_active,precision,finger_active
102,Dexterous Hand movements,finger_active,precision,finger_active
103,Dexterous Hand movements,finger_active,open,finger_active
104,Dexterous Hand movements,finger_active,open,finger_active
105,Dexterous Hand movements,finger_active,open,finger_active
106,Dexterous Hand movements,finger_active,open,finger_active
107,Dexterous Hand movements,finger_active,open,finger_active
108,Dexterous Hand movements,finger_active,open,finger_active
109,Dexterous Hand movements,finger_active,open,finger_active
110,Dexterous Hand movements,finger_active,open,finger_active
111,Dexterous Hand movements,finger_active,open,finger_active
112,Dexterous Hand movements,finger_active,open,finger_active
113,Dexterous Hand movements,finger_active,open,finger_active
114,Dexterous Hand movements,finger_active,open,finger_active
115,Dexterous Hand movements,finger_active,open,finger_active
116,Dexterous Hand movements,finger_active,open,finger_active
117,Dexterous Hand movements,finger_active,open,finger_active
118,Dexterous Hand movements,finger_active,open,finger_active
119,Dexterous Hand movements,finger_active,open,finger_active
120,Dexterous Hand movements,finger_active,precision,finger_active
121,Dexterous Hand movements,finger_active,precision,finger_active
122,Dexterous Hand movements,finger_active,precision,finger_active
123,Dexterous Hand movements,finger_active,precision,finger_active
124,Dexterous Hand movements,finger_active,open,finger_active
125,Dexterous Hand movements,finger_active,open,finger_active
126,Dexterous Hand movements,finger_active,open,finger_active
127,Dexterous Hand movements,finger_active,open,finger_active
